Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date,Team Name,Not Out,player_id,innings_id,cumulative_runs,cumulative_4s,cumulative_6s,cumulative_balls,innings_count,out_innings,rolling_avg_runs,rolling_strike_rate,BASRA
A Badoni,54,0,41,4,3,131.7,1,v GT,Wankhede,28-03-2022,Lucknow Super Giants,0,2,1,54,4,3,41,1,1,54,131.7073,185.7073
A Badoni,19,18,9,0,2,211.11,2,v CSK,Brabourne,31-03-2022,Lucknow Super Giants,1,2,2,73,4,5,50,2,1,73,146,219
A Badoni,19,30,12,3,0,158.33,1,v SRH,DY Patil,04-04-2022,Lucknow Super Giants,0,2,3,92,7,5,62,3,2,46,148.3871,194.3871
A Badoni,10,4,3,1,1,333.33,2,v DC,DY Patil,07-04-2022,Lucknow Super Giants,1,2,4,102,8,6,65,4,2,51,156.9231,207.9231
A Badoni,5,16,7,0,0,71.42,2,v RR,Wankhede,10-04-2022,Lucknow Super Giants,0,2,5,107,8,6,72,5,3,35.6667,148.6111,184.2778
A Badoni,13,23,13,2,0,100,2,v RCB,DY Patil,19-04-2022,Lucknow Super Giants,0,2,6,120,10,6,85,6,4,30,141.1765,171.1765
A Badoni,14,0,11,0,1,127.27,1,v MI,Wankhede,24-04-2022,Lucknow Super Giants,0,2,7,134,10,7,96,7,5,26.8,139.5833,166.3833
A Badoni,4,0,4,0,0,100,1,v Punjab Kings,Pune,29-04-2022,Lucknow Super Giants,0,2,8,138,10,7,100,8,6,23,138,161
A Badoni,15,40,18,0,0,83.33,1,v KKR,Pune,07-05-2022,Lucknow Super Giants,1,2,9,153,10,7,118,9,6,25.5,129.661,155.161
A Badoni,8,15,11,1,0,72.72,2,v GT,Pune,10-05-2022,Lucknow Super Giants,0,2,10,161,11,7,129,10,7,23,124.8062,147.8062
A Badoni,0,3,1,0,0,0,2,v RR,Brabourne,15-05-2022,Lucknow Super Giants,0,2,11,161,11,7,130,11,8,20.125,123.8462,143.9712
A Badoni,18,10,7,1,2,257.14,1,v DC,Lucknow,01-04-2023,Lucknow Super Giants,0,2,12,179,12,9,137,12,9,19.8889,130.6569,150.5458
A Badoni,23,38,18,0,0,127.77,2,v CSK,Chennai,03-04-2023,Lucknow Super Giants,0,2,13,202,12,9,155,13,10,20.2,130.3226,150.5226
A Badoni,30,45,24,4,0,125,2,v RCB,Bengaluru,10-04-2023,Lucknow Super Giants,0,2,14,232,16,9,179,14,11,21.0909,129.6089,150.6998
A Badoni,5,17,6,0,0,83.33,1,v Punjab Kings,Lucknow,15-04-2023,Lucknow Super Giants,1,2,15,237,16,9,185,15,11,21.5455,128.1081,149.6536
