,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date,Team Name,Not Out
1934,A Ashish Reddy,10.0,0,10,0,1,100.00,1,v MI,Wankhede,2012-04-29,Deccan Chargers,0.0
1938,A Ashish Reddy,3.0,7,3,0,0,100.00,2,v CSK,Chennai,2012-05-04,Deccan Chargers,0.0
1942,A Ashish Reddy,8.0,8,8,1,0,100.00,2,v Kings XI,Hyderabad,2012-05-08,Deccan Chargers,0.0
1946,A Ashish Reddy,10.0,3,4,2,0,250.00,2,v RR,Hyderabad,2012-05-18,Deccan Chargers,1.0
1948,A Ashish Reddy,4.0,-1,4,0,0,100.00,1,v RCB,Hyderabad,2012-05-20,Deccan Chargers,0.0
1950,A Ashish Reddy,7.0,8,4,1,0,175.00,1,v Warriors,Hyderabad,2013-04-05,Sunrisers Hyderabad,1.0
1952,A Ashish Reddy,14.0,14,12,1,0,116.66,2,v RCB,Hyderabad,2013-04-07,Sunrisers Hyderabad,0.0
1954,A Ashish Reddy,3.0,7,4,0,0,75.00,1,v RCB,Bengaluru,2013-04-09,Sunrisers Hyderabad,0.0
1956,A Ashish Reddy,16.0,12,9,2,0,177.77,2,v Daredevils,Delhi,2013-04-12,Sunrisers Hyderabad,0.0
1958,A Ashish Reddy,4.0,8,5,0,0,80.00,2,v KKR,Eden Gardens,2013-04-14,Sunrisers Hyderabad,0.0
1960,A Ashish Reddy,19.0,24,15,0,1,126.66,1,v Warriors,Pune,2013-04-17,Sunrisers Hyderabad,1.0
1962,A Ashish Reddy,7.0,14,7,1,0,100.00,2,v Kings XI,Hyderabad,2013-04-19,Sunrisers Hyderabad,1.0
1964,A Ashish Reddy,36.0,23,16,2,3,225.00,1,v CSK,Chennai,2013-04-25,Sunrisers Hyderabad,1.0
1966,A Ashish Reddy,14.0,17,11,1,0,127.27,1,v RR,Jaipur,2013-04-27,Sunrisers Hyderabad,0.0
1970,A Ashish Reddy,5.0,7,6,1,0,83.33,2,v Daredevils,Hyderabad,2013-05-04,Sunrisers Hyderabad,0.0
1976,A Ashish Reddy,13.0,15,9,0,1,144.44,1,v RR,Visakhapatnam,2015-04-16,Sunrisers Hyderabad,1.0
1978,A Ashish Reddy,15.0,16,8,1,1,187.50,2,v Daredevils,Visakhapatnam,2015-04-18,Sunrisers Hyderabad,0.0
1980,A Ashish Reddy,22.0,15,8,1,2,275.00,1,v Kings XI,Mohali,2015-04-27,Sunrisers Hyderabad,1.0
1982,A Ashish Reddy,6.0,5,6,1,0,100.00,1,v CSK,Hyderabad,2015-05-02,Sunrisers Hyderabad,0.0
1984,A Ashish Reddy,17.0,15,15,0,1,113.33,1,v MI,Hyderabad,2015-05-17,Sunrisers Hyderabad,0.0
1986,A Ashish Reddy,32.0,18,18,2,3,177.77,2,v RCB,Bengaluru,2016-04-12,Sunrisers Hyderabad,0.0
1988,A Ashish Reddy,13.0,13,8,0,1,162.50,1,v KKR,Hyderabad,2016-04-16,Sunrisers Hyderabad,0.0
1992,A Ashish Reddy,2.0,3,3,0,0,66.66,1,v RCB,Hyderabad,2016-04-30,Sunrisers Hyderabad,1.0
2812,A Badoni,54.0,0,41,4,3,131.70,1,v GT,Wankhede,2022-03-28,Lucknow Super Giants,0.0
2814,A Badoni,19.0,18,9,0,2,211.11,2,v CSK,Brabourne,2022-03-31,Lucknow Super Giants,1.0
2816,A Badoni,19.0,30,12,3,0,158.33,1,v SRH,DY Patil,2022-04-04,Lucknow Super Giants,0.0
2818,A Badoni,10.0,4,3,1,1,333.33,2,v DC,DY Patil,2022-04-07,Lucknow Super Giants,1.0
2820,A Badoni,5.0,16,7,0,0,71.42,2,v RR,Wankhede,2022-04-10,Lucknow Super Giants,0.0
2824,A Badoni,13.0,23,13,2,0,100.00,2,v RCB,DY Patil,2022-04-19,Lucknow Super Giants,0.0
2826,A Badoni,14.0,0,11,0,1,127.27,1,v MI,Wankhede,2022-04-24,Lucknow Super Giants,0.0
2828,A Badoni,4.0,0,4,0,0,100.00,1,v Punjab Kings,Pune,2022-04-29,Lucknow Super Giants,0.0
2832,A Badoni,15.0,40,18,0,0,83.33,1,v KKR,Pune,2022-05-07,Lucknow Super Giants,1.0
2834,A Badoni,8.0,15,11,1,0,72.72,2,v GT,Pune,2022-05-10,Lucknow Super Giants,0.0
2836,A Badoni,0.0,3,1,0,0,0.00,2,v RR,Brabourne,2022-05-15,Lucknow Super Giants,0.0
2838,A Badoni,18.0,10,7,1,2,257.14,1,v DC,Lucknow,2023-04-01,Lucknow Super Giants,0.0
2840,A Badoni,23.0,38,18,0,0,127.77,2,v CSK,Chennai,2023-04-03,Lucknow Super Giants,0.0
2844,A Badoni,30.0,45,24,4,0,125.00,2,v RCB,Bengaluru,2023-04-10,Lucknow Super Giants,0.0
2846,A Badoni,5.0,17,6,0,0,83.33,1,v Punjab Kings,Lucknow,2023-04-15,Lucknow Super Giants,1.0
2848,A Badoni,1.0,6,4,0,0,25.00,1,v RR,Jaipur,2023-04-19,Lucknow Super Giants,0.0
2850,A Badoni,8.0,22,6,0,0,133.33,2,v GT,Lucknow,2023-04-22,Lucknow Super Giants,0.0
2852,A Badoni,43.0,49,24,3,3,179.16,1,v Punjab Kings,Mohali,2023-04-28,Lucknow Super Giants,0.0
2854,A Badoni,4.0,23,11,0,0,36.36,2,v RCB,Lucknow,2023-05-01,Lucknow Super Giants,0.0
2856,A Badoni,59.0,41,33,2,4,178.78,1,v CSK,Lucknow,2023-05-03,Lucknow Super Giants,1.0
2858,A Badoni,21.0,15,11,1,2,190.90,2,v GT,Ahmedabad,2023-05-07,Lucknow Super Giants,0.0
2864,A Badoni,25.0,42,21,2,1,119.04,1,v KKR,Eden Gardens,2023-05-20,Lucknow Super Giants,0.0
2866,A Badoni,1.0,6,7,0,0,14.28,2,v MI,Chennai,2023-05-24,Lucknow Super Giants,0.0
2868,A Badoni,1.0,4,5,0,0,20.00,2,v RR,Jaipur,2024-03-24,Lucknow Super Giants,0.0
2870,A Badoni,8.0,26,10,0,0,80.00,1,v Punjab Kings,Lucknow,2024-03-30,Lucknow Super Giants,0.0
2872,A Badoni,0.0,5,3,0,0,0.00,1,v RCB,Bengaluru,2024-04-02,Lucknow Super Giants,0.0
2874,A Badoni,20.0,15,11,3,0,181.81,1,v GT,Lucknow,2024-04-07,Lucknow Super Giants,0.0
2876,A Badoni,55.0,51,35,5,1,157.14,1,v DC,Lucknow,2024-04-12,Lucknow Super Giants,1.0
2878,A Badoni,29.0,44,27,2,1,107.40,1,v KKR,Eden Gardens,2024-04-14,Lucknow Super Giants,0.0
2884,A Badoni,18.0,23,13,1,0,138.46,1,v RR,Lucknow,2024-04-27,Lucknow Super Giants,1.0
2886,A Badoni,6.0,6,6,1,0,100.00,2,v MI,Lucknow,2024-04-30,Lucknow Super Giants,0.0
2888,A Badoni,15.0,17,12,0,1,125.00,2,v KKR,Lucknow,2024-05-05,Lucknow Super Giants,0.0
2890,A Badoni,55.0,41,30,9,0,183.33,1,v SRH,Hyderabad,2024-05-08,Lucknow Super Giants,1.0
2892,A Badoni,6.0,15,9,0,0,66.66,2,v DC,Delhi,2024-05-14,Lucknow Super Giants,0.0
2894,A Badoni,22.0,15,10,1,2,220.00,1,v MI,Wankhede,2024-05-17,Lucknow Super Giants,1.0
23634,A Mishra,4.0,0,5,0,0,80.00,1,v RR,Jaipur,2008-05-11,Delhi Daredevils,0.0
23636,A Mishra,31.0,0,32,3,0,96.87,2,v KKR,Eden Gardens,2008-05-13,Delhi Daredevils,0.0
23644,A Mishra,2.0,0,5,0,0,40.00,2,v RR,Wankhede,2008-05-30,Delhi Daredevils,0.0
23648,A Mishra,0.0,0,4,0,0,0.00,1,v RR,Centurion,2009-04-28,Delhi Daredevils,0.0
23652,A Mishra,11.0,-1,8,1,1,137.50,2,v CSK,Johannesburg,2009-05-02,Delhi Daredevils,1.0
23660,A Mishra,2.0,-1,3,0,0,66.66,1,v Chargers,Durban,2009-05-13,Delhi Daredevils,0.0
23664,A Mishra,13.0,0,4,1,1,325.00,2,v MI,Centurion,2009-05-21,Delhi Daredevils,1.0
23666,A Mishra,0.0,-1,1,0,0,0.00,1,v Chargers,Centurion,2009-05-22,Delhi Daredevils,0.0
23672,A Mishra,3.0,-1,5,0,0,60.00,2,v MI,Delhi,2010-03-17,Delhi Daredevils,0.0
23674,A Mishra,6.0,-1,3,1,0,200.00,1,v CSK,Delhi,2010-03-19,Delhi Daredevils,1.0
23676,A Mishra,0.0,-1,1,0,0,0.00,2,v Chargers,Cuttack,2010-03-21,Delhi Daredevils,0.0
23686,A Mishra,4.0,-1,6,0,0,66.66,2,v KKR,Eden Gardens,2010-04-07,Delhi Daredevils,1.0
23688,A Mishra,10.0,-1,10,0,0,100.00,1,v Kings XI,Delhi,2010-04-11,Delhi Daredevils,1.0
23690,A Mishra,12.0,-1,17,0,0,70.58,2,v MI,Brabourne,2010-04-13,Delhi Daredevils,0.0
23694,A Mishra,4.0,-1,9,0,0,44.44,2,v Chargers,Delhi,2010-04-18,Delhi Daredevils,0.0
23696,A Mishra,2.0,-1,2,0,0,100.00,1,v RR,Hyderabad,2011-04-09,Deccan Chargers,1.0
