Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
P Amarnath,DNB,-,-,-,-,-,1,,v Kings XI,Mohali,19 Apr 2008,
(Chennai Super Kings),,,,,,,,,,,,
P Amarnath,DNB,-,-,-,-,-,1,,v MI,Chennai,23 Apr 2008,
(Chennai Super Kings),,,,,,,,,,,,
P Amarnath,DNB,-,-,-,-,-,2,,v KKR,Chennai,26 Apr 2008,
(Chennai Super Kings),,,,,,,,,,,,
P Amarnath,DNB,-,-,-,-,-,1,,v RCB,Bengaluru,28 Apr 2008,
(Chennai Super Kings),,,,,,,,,,,,
P Amarnath,DNB,-,-,-,-,-,2,,v Daredevils,Delhi,8 May 2008,
(Chennai Super Kings),,,,,,,,,,,,
P Amarnath,DNB,-,-,-,-,-,1,,v Kings XI,Chennai,10 May 2008,
(Chennai Super Kings),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v RR,Ahmedabad,15 Mar 2010,
(Delhi Daredevils),,,,,,,,,,,,
S Ladda,0*,-,8,0,0,0.00,2,,v MI,Delhi,17 Mar 2010,
(Delhi Daredevils),,,,,,,,,,,,
S Ladda,0,-,1,0,0,0.00,2,,v Chargers,Cuttack,21 Mar 2010,
(Delhi Daredevils),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,1,,v RR,Delhi,31 Mar 2010,
(Delhi Daredevils),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v MI,Brabourne,13 Apr 2010,
(Delhi Daredevils),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v CSK,Chennai,8 Apr 2011,
(Kolkata Knight Riders),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v Kochi,Kochi,5 May 2011,
(Kolkata Knight Riders),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v Kings XI,Eden Gardens,26 Apr 2013,
(Kolkata Knight Riders),,,,,,,,,,,,
S Ladda,DNB,-,-,-,-,-,2,,v Kings XI,Mohali,11 Apr 2016,
(Gujarat Lions),,,,,,,,,,,,
AR Bawne,12*,14,12,1,0,100.00,1,,v KKR,Eden Gardens,28 Apr 2017,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Kings XI,Delhi,23 Apr 2011,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v CSK,Chennai,12 May 2011,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,0*,-,5,0,0,0.00,2,,v Kings XI,Dharamsala,15 May 2011,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v Warriors,Delhi,21 May 2011,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,1,1,1,0,0,100.00,1,,v KKR,Delhi,7 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Chargers,Hyderabad,10 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,1,,v CSK,Chennai,12 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Kings XI,Delhi,15 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v RCB,Delhi,17 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Kings XI,Dharamsala,19 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v KKR,Pune,22 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,0,-,2,0,0,0.00,2,,v CSK,Chennai,25 May 2012,
(Delhi Daredevils),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v Daredevils,Sharjah,17 Apr 2014,
(Royal Challengers Bangalore),,,,,,,,,,,,
VR Aaron,DNB,-,-,-,-,-,2,,v MI,Dubai (DICS),19 Apr 2014,
(Royal Challengers Bangalore),,,,,,,,,,,,
